Total_Population,Median_Income,Percent_Bachelor_or_Higher,ZIP
702,113056,92.5,02802
2560,101211,97.7,02804
17121,145028,98.0,02806
962,66652,95.2,02807
2328,78214,93.0,02808
22420,91382,91.1,02809
1038,107188,94.2,02812
7998,103182,93.4,02813
7444,103605,94.7,02814
134,201500,91.4,02815
33148,94026,93.1,02816
6535,119137,90.4,02817
19876,120219,96.5,02818
6241,103289,88.2,02822
17,-666666666,100.0,02823
291,-666666666,89.3,02824
5872,107653,93.9,02825
396,73491,94.5,02826
2286,96401,91.6,02827
7263,92340,95.2,02828
82,-666666666,100.0,02829
6766,118790,90.9,02830
3840,129122,97.3,02831
4887,102643,91.5,02832
670,-666666666,96.5,02833
5554,131875,97.8,02835
87,25658,56.9,02836
3622,136389,97.9,02837
3468,72278,88.2,02838
1598,95154,98.2,02839
23847,81307,95.0,02840
1240,-666666666,98.0,02841
17009,97555,94.0,02842
23382,103764,96.6,02852
8031,106250,96.9,02857
286,89960,100.0,02858
7295,114726,94.3,02859
47677,54462,79.4,02860
27527,78977,85.3,02861
22359,43092,63.2,02863
36142,109746,90.5,02864
18306,110639,91.0,02865
17748,107360,96.3,02871
98,-666666666,57.1,02872
97,42266,100.0,02873
6376,136473,97.3,02874
176,87076,100.0,02875
659,-666666666,96.4,02876
16324,92444,92.1,02878
22369,112409,94.9,02879
7177,62829,98.0,02881
13238,90507,96.6,02882
11117,81575,90.7,02885
30540,81788,92.7,02886
18443,81505,96.0,02888
28209,81226,90.3,02889
22026,89243,92.8,02891
5920,130875,98.3,02892
30909,71851,90.8,02893
609,79130,100.0,02894
43163,54483,82.8,02895
11449,100669,93.0,02896
1857,111167,98.2,02898
12039,57850,87.9,02903
31214,61853,87.7,02904
25674,53668,76.8,02905
26437,98563,96.3,02906
32697,46010,72.9,02907
39099,68268,87.2,02908
42629,58085,81.9,02909
23598,86709,90.0,02910
15866,78115,91.4,02911
4809,-666666666,100.0,02912
21742,60343,80.7,02914
16415,82546,90.8,02915
